,nama lengkap,alias,instagram,,,,,,
244,Augie Fantinus,,,,crawled (batch 2),,,,
245,Aulia Ribero,,,,crawled (batch 2),,,,
246,Aulia Sarah,,,,crawled (batch 2),,,,
247,Aulia Wirizqi,,,,crawled (batch 2),,,,
248,Aura Kasih,,,,crawled (batch 2),,,,
249,Aura Nabilla Izzathi,,,,crawled (batch 2),,,,
250,Aurelia Carisa Lestari,,,,crawled (batch 2),,,,
251,Aurelie Moeremans,,,,crawled (batch 2),,,,
252,Auxilia Paramitha,,,,crawled (batch 2),,,,
253,Ayana Jihye Moon,,,,crawled (batch 2),,,,
254,Ayana Shahab,,,,crawled (batch 2),,,,
255,Ayu Azhari,,,,crawled (batch 2),,,,
256,Ayu Dewi,,,,crawled (batch 2),,,,
257,Ayu Gani,,,,crawled (batch 2),,,,
258,Ayu Hastari,,,,crawled (batch 2),,,,
259,Ayu Pratiwi,,,,crawled (batch 2),,,,
260,Ayu Puspa,,,,crawled (batch 2),,,,
261,Ayu Putri Sundari,,,,crawled (batch 2),,,,
262,Ayu Rosmalia,Ayu TingTing,ayutingting92,,crawled (batch 2),,,,
263,Ayudia Bing Slamet,,,,crawled (batch 2),,,,
264,Ayushita Widyartoeti Nugraha,Ayushita,,,crawled (batch 2),,,,
265,Ayya Renita,,,,crawled (batch 2),,,,
266,Azalia Bianda,,,,crawled (batch 2),,,,
267,Azaria Bianda Avissa,,,,crawled (batch 2),,,,
268,Aziz Hayat,,,,crawled (batch 2),,,,
269,Azka Cobuzier,,,,crawled (batch 2),,,,
270,Azriel Hermansyah,,,,crawled (batch 2),,,,
271,B.J. Habibie,,,,crawled (batch 2),,,,
272,Babe Cabita,,,,crawled (batch 2),,,,
273,Baby Margareta,,,,crawled (batch 2),,,,
274,Baila Fauri,,,,crawled (batch 2),,,,
275,Baim Wong,,baimwong,,crawled (batch 2),,,,
276,Bambang Brodjonegoro,,,,crawled (batch 2),,,,
277,Bambang Hartono,,,,crawled (batch 2),,,,
278,Bambang Pamungkas,,bepe20,,crawled (batch 2),,,,
279,Bambang Reguna,,,,crawled (batch 2),,,,
280,Bambang Soesatyo,,,,crawled (batch 2),,,,
281,Barbie Kumalasari,,,,crawled (batch 2),,,,
282,Barli Asmara,,,,crawled (batch 2),,,,
283,Barry Prima,,,,crawled (batch 2),,,,
284,Baskara Mahendra,,,,crawled (batch 2),,,,
285,Bastian Bintang,,,,crawled (batch 2),,,,
286,Basuki Hadimuljono,,,,crawled (batch 2),,,,
287,Basuki Tjahaja Purnama,,,,crawled (batch 2),,,,
288,Bayu Oktara,,,,crawled (batch 2),,,,
289,Bayu Skak,,,,crawled (batch 2),,,,
290,Bebi Tsabina,,,,crawled (batch 2),,,,
291,Bedu Tohar,,,,crawled (batch 2),,,,
292,Belinda Camesi,,,,crawled (batch 2),,,,
293,Bella Attamimi,,,,crawled (batch 2),,,,
294,Bella Graceva,,,,crawled (batch 2),,,,
295,Bella Saphira,,,,crawled (batch 2),,,,
296,Bella Shofie,,,,crawled (batch 2),,,,
297,Bella Sophie,,,,crawled (batch 2),,,,
298,Ben Joshua,,,,crawled (batch 2),,,,
299,Ben Kasyafani,,,,crawled (batch 2),,,,
300,Beniqno Muhammad Aquino,Beniqno,,,crawled (batch 2),,,,
301,Bentang Ababil,Beno Ababil,,,crawled (batch 2),,,,
302,Benyamin S,,,,crawled (batch 2),,,,
303,Bersena Besthandi,,,,crawled (batch 2),,,,
304,Betrand Antolin,,,,crawled (batch 2),,,,
305,Bianca Jodie Maurinne,,,,crawled (batch 2),,,,
306,Bianca Liza,,,,crawled (batch 2),,,,
307,Biby Alraen,,,,crawled (batch 2),,,,
308,Bill Satya,,,,crawled (batch 2),,,,
309,Billy Davidson,,,,crawled (batch 2),,,,
310,Billy Joe Ava,,,,crawled (batch 2),,,,
311,Billy Syahputra,,,,crawled (batch 2),,,,
312,Bilqis Khumairah Razak,,,,crawled (batch 2),,,,
313,Bima Arya,,,,crawled (batch 2),,,,
314,Bintan Radhita,,,,crawled (batch 2),,,,
315,Bio One,,,,crawled (batch 2),,,,
316,Bisma Karisma,,,,crawled (batch 2),,,,
317,Bobby Andreas Ida,,,,crawled (batch 2),,,,
318,Bobby Maulana,,,,crawled (batch 2),,,,
319,Boby Tince,,,,crawled (batch 2),,,,
320,Boediono,,,,crawled (batch 2),,,,
321,Bondan Prakoso,,,,crawled (batch 2),,,,
322,Bondan Winarno,,,,crawled (batch 2),,,,
323,Bong Chandra,,,,crawled (batch 2),,,,
324,Boris Bokir,,,,crawled (batch 2),,,,
325,Boy Hamzah,,,,crawled (batch 2),,,,
326,Boy Wiliam,,,,crawled (batch 2),,,,
327,Brandon Salim,,,,crawled (batch 2),,,,
328,Brian Imanuel,,,,crawled (batch 2),,,,
329,Brianna Simorangkir,,,,crawled (batch 2),,,,
330,Brigitta Cynthia,,,,crawled (batch 2),,,,
331,Brisia Jodie,,brisiajodie96,,crawled (batch 2),,,,
332,Broery Marantika,,,,crawled (batch 2),,,,
333,Bryan Andrew,,,,crawled (batch 2),,,,
334,Bryan Domani,,,,crawled (batch 2),,,,
335,Budi Gunawan,,,,crawled (batch 2),,,,
336,Budi Karya,,,,crawled (batch 2),,,,
337,Budiman Sudjatmiko,,,,crawled (batch 2),,,,
338,Bunga Citra Lestari,,,,crawled (batch 2),,,,
339,Bunga Zainal,,,,crawled (batch 2),,,,
340,Caca Handika,,,,crawled (batch 2),,,,
341,Caca Tengker,,,,crawled (batch 2),,,,
342,Caesar gunawan,,,,crawled (batch 2),,,,
343,Caitlin Halderman,,,,crawled (batch 2),,,,
344,Cakra Konta P,,,,crawled (batch 2),,,,
345,Camelia Malik,,,,crawled (batch 2),,,,
346,Cantika Abigail Santoso,,,,crawled (batch 2),,,,
347,Carissa Perusset,,carissaperusset,,crawled (batch 2),,,,
348,Carissa Putri,,,,crawled (batch 2),,,,
349,Carlo Saba,,carlo_saba,,crawled (batch 2),,,,
350,Cassandra Sheryl Lee,,,,crawled (batch 2),,,,
351,Catherine Wilson,,,,crawled (batch 2),,,,
352,Cathy Natafitria Fakandi,,,,crawled (batch 2),,,,
353,Cecep Arif Rahman,,,,crawled (batch 2),,,,
354,Cecep Reza,,,,crawled (batch 2),,,,
355,Cecile Evangelista,,,,crawled (batch 2),,,,
356,Celine Evangelista,,,,crawled (batch 2),,,,
357,Chacha Frederica,,,,crawled (batch 2),,,,
358,Chand Kelvin,,,,crawled (batch 2),,,,
359,Chandra Liow,,,,crawled (batch 2),,,,
360,Chantiq Schagerl,,,,crawled (batch 2),,,,
361,Chea Nuh,,,,crawled (batch 2),,,,
362,Chelsea Islan,,,,crawled (batch 2),,,,
363,Chelsea Olivia,,,,crawled (batch 2),,,,
364,Cheryl Raissa,,,,crawled (batch 2),,,,
365,Chicco Jerikho,,,,crawled (batch 2),,,,
366,Chicco Kurniawan,,chiccokurniawan,,crawled (batch 2),,,,
367,Chika Jessica,,,,crawled (batch 2),,,,
368,Chintami Atmanegara,,,,crawled (batch 2),,,,
369,Chintya Sari,,,,crawled (batch 2),,,,
370,Choky Sitohang,,sitohangchoky,,crawled (batch 2),,,,
371,Cholidi Asadil,,,,crawled (batch 2),,,,
372,Chris John,,,,crawled (batch 2),,,,
373,Chrismansyah Rahadi,,,,crawled (batch 2),,,,
374,Chrismanto Eka Prastio,,,,crawled (batch 2),,,,
375,Chrissie Vanessa,,,,crawled (batch 2),,,,
376,Christ Laurent,,,,crawled (batch 2),,,,
377,Christian Loho,,,,crawled (batch 2),,,,
378,Christian Sugiono,,csugiono,,crawled (batch 2),,,,
379,Christie Julia,,,,crawled (batch 2),,,,
380,Christie Jusung,,,,crawled (batch 2),,,,
381,Christina Lie,,,,crawled (batch 2),,,,
382,Christine Hakim,,,,crawled (batch 2),,,,
383,Christoffer Nelwan,,,,crawled (batch 2),,,,
384,Chyntiara Alona,,,,crawled (batch 2),,,,
385,Ciccio Manassero,,,,crawled (batch 2),,,,
386,Cici Paramida,,,,crawled (batch 2),,,,
387,Cikallia,,,,crawled (batch 2),,,,
388,Cikitha Meidy,,,,crawled (batch 2),,,,
389,Cinta Laura Kiehl,,,,crawled (batch 2),,,,
390,Cinta Penelope,,,,crawled (batch 2),,,,
391,Cinta Rahmania Putri,,,,crawled (batch 2),,,,
392,Cinta Rumana Amelz,,,,crawled (batch 2),,,,
393,Cita Citata,,,,crawled (batch 2),,,,
394,Citra Kirana,,citraciki,,crawled (batch 2),,,,
395,Citra Lubis,,,,crawled (batch 2),,,,
396,Citra Skolastika,,,,crawled (batch 2),,,,
397,Clairine Christabel,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,21
398,Clairine Hayes,,,,crawled (batch 2),,Luqman Rahardjo,Selesai,
399,Clara Bernadeth,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
400,Clara Sutantio,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
401,Clarissa Putri,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
402,Claudia Anissa,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
403,Cleopatra Djapri,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
404,Cornelia Agatha,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
405,Cut Beby Tshabina,,bebytsabina,,crawled (batch 2),,Ganjar Gustiana,Selesai,
406,Cut Keke,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
407,Cut Memey,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
408,Cut Meyriska,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
409,Cut Mini,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
410,Cut Syifa,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
411,Cut Tari,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
412,Cynthia Lamusu,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
413,Cynthia Ramlan,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
414,Daemita Argoebie,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
415,Dahlan Iskan,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
416,Dahlia Poland,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
417,Dahnil Anzar,,dahnil_anzar_simanjuntak,,crawled (batch 2),,Ganjar Gustiana,Selesai,
418,Dallas Pratama,,,,crawled (batch 2),,Ganjar Gustiana,Selesai,
419,Danang Pradana Dieva,,,,crawled (batch 2),,,,
420,Dandy Hendstyo,,,,crawled (batch 2),,,,
421,Daniel Mananta,,,,crawled (batch 2),,,,
422,Daniel Topan,,,,crawled (batch 2),,,,
423,Daniel Wenas,,,,crawled (batch 2),,,,
424,Danilla Riyadi,,,,crawled (batch 2),,,,
425,Danita Vinarosa,,,,crawled (batch 2),,,,
426,Dara Rizky,,,,crawled (batch 2),,,,
427,Darius Sinathrya,,,,crawled (batch 2),,,,
428,Darmin Nasution,,,,crawled (batch 2),,,,
429,Darwis Triadi,,,,crawled (batch 2),,,,
430,Daus Separo,,,,crawled (batch 2),,,,
431,Dave Hendrik,,,,crawled (batch 2),,,,
432,Dave Jephcott,,,,crawled (batch 2),,,,
433,David Bayu,,,,crawled (batch 2),,,,
434,David Nurbianto,,,,crawled (batch 2),,,,
435,Davina Veronica,,,,crawled (batch 2),,,,
436,Dayu Dara Permata,,,,crawled (batch 2),,,,
437,Dea Dalila,,,,crawled (batch 2),,,,
438,Debi Sagita,,,,crawled (batch 2),,,,
439,Debo Andryos Aryanto,,,,crawled (batch 2),,,,
440,Deddy Corbuzier,,,,crawled (batch 2),,,,
441,Deddy Desta,,,,crawled (batch 2),,,,
442,Deddy Dores,,,,crawled (batch 2),,,,
443,Deddy Mizwar,,,,crawled (batch 2),,,,
444,Dedi Gumelar,,,,crawled (batch 2),,,,
445,Dedi Mulyadi,,,,crawled (batch 2),,,,
446,Delania Marvella,,,,crawled (batch 2),,,,
447,Delia Septianti,,,,crawled (batch 2),,,,
448,Della Dartyan,,delladartyan,,crawled (batch 2),,,,
449,Dellie Threesyadinda,,,,crawled (batch 2),,,,
450,Demian Aditya,,,,crawled (batch 2),,,,
451,Dena Rachman,,,,crawled (batch 2),,,,
452,Denira Wiraguna,,,,crawled (batch 2),,,,
453,Dennis Adhiswara,,,,crawled (batch 2),,,,
454,Denny Chandra,,,,crawled (batch 2),,,,
455,Denny Darko,,,,crawled (batch 2),,,,
456,Denny Sumargo,,,,crawled (batch 2),,,,
457,Denny Wahyudi,,,,crawled (batch 2),,,,
458,Deny Mulyadi,,,,crawled (batch 2),,,,
459,Derby Romero,,,,crawled (batch 2),,,,
461,Desi Florita,,,,crawled (batch 2),,,,
462,Deswita Maharani,,,,crawled (batch 2),,,,
463,Desy Ratnasari,,,,crawled (batch 2),,,,
464,Deva Mahenra,,devamahenra,,crawled (batch 2),,,,
465,Devano Danendra,,devdanendra,,crawled (batch 2),,,,
466,Deven Christiandi Putra,,,,crawled (batch 2),,,,
467,Devi Kinal Putri,,,,crawled (batch 2),,,,
468,Devina Aureel,,,,crawled (batch 2),,,,
469,Dewa Budjana,,dewabudjana,,crawled (batch 2),,,,
470,Dewi Gita,,,,crawled (batch 2),,,,
471,Dewi Irawan,,,,crawled (batch 2),,,,
472,Dewi Lestari,Dee Lestari,,,crawled (batch 2),,,,
