Sabri Yunus
Saharul Ridzwan
Sahronizam Noor
Saiful Apek
Salih Yaacob
Salleh Ghani / abdul ghani salleh
Salleh Kamil
Salman al-Farisi Seniman
Sathiya
Sean Ghazi
Sean Lee
Seelan Paul
Sein Qudsi
Shafiee Jaafar
Shah Indrawan Ismail
Shah Iskandar
Shah Rezza
Shaharuddin Thamby
Shaheizy Sam
Shahrol Shiro
Shahz Jaszle
Sham Visa
Shamsul Ghau Ghau
Sharif Babu
Sharif Zero
Sharizan Ahmad
Sharnaaz Ahmad
Shuib Sepahtu
Shuk (pelawak)
Shukery Hashim
Shukri Yahaya
Sidek Hussain
Sidi Oraza
Sobri Anuar
Soffi Jikan
Sudirman (penyanyi)
Suhaimi bin Abdul Rahman
Syaffiq Sahli
Syafie Naswip
Syafiq Kyle
Syafiq Yusof
Syaiful Reza bin Mohamed
Syaiful Zero
Syamsul Yusof
Syazuwan Hassan
Syazwan Zulkifly
Syed Aiman
Syed Ali
Syed Mohamad Asri
Syed Muradzi Syed Shamsul
Talha Harith
Tam Suhaimi
Taufiq Hanafi
Tauke Raja Lawak
Patrick Teoh
Tony Eusoff
Tony Kassim
Udo Omar
Umarul Mahdzar
Ungku Hariz
Ungku Ismail Aziz
Wahid Senario
Wak Doyok
Wan Hanafi Su
Wan Raja
Wee Meng Chee
Yahya Sulong
Yalal Chin
Yasin Sulaiman
Yassin Yahya
Yazid Sobrani
Yus Raja Lawak
Yusof Banjar
Yusof Chong
Yusof Hashim
Yusof Haslam
Yusof Wahab
Yusry bin Abdul Halim
Z. Lokman
Zachery Francis
Zack Idris
Zack Taipan
Zaefrul Nordin
Zahim Albakri
Zahiril Adzim
Zaibo
Zaid Zahari
Zaidi Omar
Zain Hamid
Zain Saidin
Zainol MacWilson
Zainurdin Ismail
Zalif Sidek
Zamarul Hisham
Zami Ismail
Zed Zaidi
Zee Zainal
Zhang Yaodong
Zizan Razak
Zoey Rahman
Zul Ariffin
Zul Handy Black
Zul Helmy
Zul Huzaimy
Zul Yahya
Zulkifli Ismail
Zulkifli M. Osman
Zulkifli Zain
